"patient_id","B_cells","CD45","Cytotoxic_cells","DC","Exhausted_CD8","Macrophages","Mast_cells","Neutrophils","Mature_NK","NK_cells","T_cells","Th1_cells","Treg","CD8_T_cells","CD4_T_cells","cohort"
"TCGA-3C-AAAU-01",3.54470335202536,7.80287174453764,2.98906943913745,3.81266542317263,3.52125113285818,7.14308723014709,4.86374764908145,2.86427998173609,1.81055898092467,0.512159839597705,3.76129270867289,1.77087132219082,4.45604386853413,3.57120674569127,0.19008596298162,"tcga"
"TCGA-3C-AALI-01",4.65027779761458,10.0081764785745,6.71561404180373,4.82504851026943,6.32518663099379,8.23991191023037,5.1642853298153,4.30438656376364,3.88874875811001,2.31584627484659,7.2363473938991,5.74808816652353,8.14425035619052,8.15311445099431,-0.91676705709521,"tcga"
"TCGA-3C-AALJ-01",4.80399722284176,10.007181482611,6.20364662134947,5.32989963384036,5.62615633804423,8.81185591861795,4.69889553693475,3.13366639235992,3.10090334633953,2.78587846626453,7.04834655225126,5.66857301647589,7.05513056487198,7.79246304740349,-0.744116495152225,"tcga"
"TCGA-3C-AALK-01",3.96392948716843,9.23795800796053,5.53768199544826,4.04850488084897,5.19145835675536,7.44977276567804,7.96891803818464,3.3876258649445,3.39789591394267,1.82679372811317,5.87639034315153,3.91332028448548,7.26840632093712,6.26398540958435,-0.387595066432826,"tcga"
"TCGA-4H-AAAK-01",2.99287482276793,9.37684167398091,4.87994364630636,3.87256303716685,4.91569009941019,8.64329344425718,8.81133951277529,3.35994153235226,2.64665965489612,1.48252271781983,5.33424579486058,3.43124853243476,6.45475002684181,5.66411313777925,-0.329867342918666,"tcga"
"TCGA-5L-AAT0-01",5.0333831549321,9.76445530487212,6.45883360759622,3.98428996665145,5.94784085699214,8.26543117770616,8.08566872036726,3.82180691636265,4.09631961864694,2.50672056241969,7.17323276795047,5.5470333222459,6.33482567251618,7.83274380598733,-0.659511038036857,"tcga"
"TCGA-5T-A9QA-01",0.420985628615506,6.61113253419292,3.67704026517919,2.39427228972533,3.3861751391789,7.22545047259957,3.04528598619126,2.04735120735075,1.59197058310498,1.11033523251185,2.59695998483316,2.22067046502371,2.23355065581105,5.09651257558878,-2.49955259075562,"tcga"
"TCGA-A1-A0SB-01",0.548332168021916,7.21251097622045,2.45608634377859,3.16512977135096,3.70911919281854,6.59427604315917,3.35859805106041,1.93315320486179,0,0.743228477884365,2.40607322393916,0.926758531986465,4.83213556584056,5.35257302459457,-2.94649980065541,"tcga"
"TCGA-A1-A0SD-01",3.25785624232174,9.46146921537015,4.98400101384559,5.08422667132786,5.1034140386036,8.30935803631503,7.54251630371034,3.27682902066372,2.63978102156216,1.05354261290655,5.6057787740401,3.57497340278206,5.81134514886825,5.16463614697426,0.441142627065838,"tcga"
"TCGA-A1-A0SE-01",2.51328414062303,8.84261119932492,4.99951460174295,3.70954798406677,4.51395409317128,7.14389412754789,7.47179028040055,3.43728343390504,2.75519208885022,1.63447396906522,5.48326636963087,3.30527015524019,4.87886754438384,6.97286198940827,-1.4895956197774,"tcga"
"TCGA-A1-A0SF-01",4.24469525221518,10.147917191084,6.84508647859818,4.24570625898081,5.79841686870273,8.42538690182967,7.66409341734107,2.97819982540381,2.77240909346727,2.47245640314099,7.43009810244997,5.10498656495273,6.97339315586666,8.17857941152779,-0.748481309077816,"tcga"
"TCGA-A1-A0SG-01",6.06129534645757,9.79449547232609,4.97559666861445,3.3798119209616,4.28253225152863,8.18739586371544,8.30940131496869,3.32940013872221,2.19028123780014,1.57032389657742,5.37477971162836,4.13423737127345,4.96815988912861,6.05961871401069,-0.684839002382325,"tcga"
"TCGA-A1-A0SH-01",1.82769083832892,9.34747963868625,3.97133219124899,3.00198758321024,4.3093133795657,8.39741843924243,8.5380214844214,3.52961870453467,3.20704268720205,0.614607758929268,4.569824478364,1.95947342648955,5.45690469060826,4.96031419360252,-0.390489715238516,"tcga"
"TCGA-A1-A0SI-01",3.79972078274545,10.478011171176,6.70561023984215,4.70717975257708,6.23761913739645,9.14837667021887,8.36454338107033,4.00603607853254,3.51371982098668,2.4332507451276,6.91699109039841,4.91335858476797,7.20455158214992,8.27067237063986,-1.35368128024145,"tcga"
"TCGA-A1-A0SJ-01",3.81612460742694,8.90307443347252,4.80272701712564,5.25649771985468,4.47701930795222,8.39803487229389,6.12366397992098,4.07705924332991,2.00478119698223,0.750146088367085,5.37899561303931,2.77669358234159,4.75356709931263,6.20661185418319,-0.827616241143873,"tcga"
"TCGA-A1-A0SK-01",1.70694975728467,6.26591316484275,1.94170074924787,2.56375106716848,2.97296919756076,6.70618427602336,0.63543157920216,2.17867580059941,1.40894169138679,0.76578430440748,3.40214539614256,2.98795747610041,5.21842083643362,6.02525919684008,-2.62311380069752,"tcga"
"TCGA-A1-A0SM-01",2.41804535197295,9.06193816772786,4.04769960687145,2.07865652721474,3.59442996687284,8.3852981991512,6.63433468952421,3.86126698975275,2.0052944005261,0.480626442029104,3.94512113692412,2.05540392049481,4.23483084033672,4.56655480189199,-0.621433664967873,"tcga"
"TCGA-A1-A0SN-01",1.99848704243015,10.6502978475992,6.22765971180057,3.87833405251024,5.98003076748087,9.02470723559266,6.95680143768341,3.65992689544588,2.78758781589102,2.2121581038725,7.32306515425358,5.27964957855709,7.41099398262528,7.87282497248512,-0.549759818231537,"tcga"
"TCGA-A1-A0SO-01",2.30391663445189,7.88060594467385,4.21681556098396,4.51299902532442,3.16441850698865,7.261564245277,1.83942391121479,2.38303208234458,1.35467235252532,1.11708607739768,4.18894584472106,2.25848877402967,5.68360101996062,4.65817718447185,-0.469231339750786,"tcga"
"TCGA-A1-A0SP-01",5.492771367622,9.89443582289101,5.80464742313837,6.26573964408293,5.84829169447276,9.30013162762235,4.33983798708271,4.01267568996017,2.78160084779318,2.17644042724535,5.99580240437438,3.48738344303651,7.21155738556079,5.58831510279854,0.407487301575848,"tcga"
"TCGA-A1-A0SQ-01",2.15046769047118,9.0274277827579,4.02567570621637,4.0843456414352,4.18830055403122,8.84978956079375,6.1011742190129,4.17133000747821,2.15185897235484,0.693046779183705,4.56983623440883,2.54624008402078,4.14912113854604,5.08798644261078,-0.518150208201948,"tcga"
"TCGA-A2-A04N-01",4.34576454696029,9.16365973836986,3.98364730896235,3.05450140055763,4.33696769886707,7.94326492509967,8.58289279006188,3.80046354480062,2.60741643712261,1.11866661789967,4.86814031976251,3.0921566857372,5.50694145397703,5.52876667709371,-0.660626357331203,"tcga"
"TCGA-A2-A04P-01",6.5472124281301,9.96348423898879,5.87700346102399,5.0124798960978,5.46995647265283,7.98673955273976,2.17666454931407,2.79230785768121,3.53342156077411,1.81676210472791,6.81662764252081,4.95805384819063,8.04523544610252,6.77082419271612,0.0458034498046898,"tcga"
"TCGA-A2-A04Q-01",7.81818279431344,11.7594180243261,9.16279429518104,7.32256273500302,7.73660123082395,9.81190211883223,4.37180879577002,5.08343912494128,5.95357991246803,4.80720332800428,8.94445552964672,7.39882063362195,9.00777856253261,9.76115858411544,-0.81670305446872,"tcga"
"TCGA-A2-A04R-01",0.919296388074224,6.40382839630381,2.98990084710251,2.85253857425774,2.66922103904065,6.3175367211648,7.51648002357749,2.53388097479958,1.2634422582444,0,2.83110112544929,2.20857968576089,2.86052585226219,3.72328874429531,-0.89218761884602,"tcga"
"TCGA-A2-A04T-01",4.28893483906387,10.3609458203854,7.05850994399633,7.64719148759048,6.435586492833,9.29303606010551,2.28254781375,3.57494288678617,3.62143820126894,3.03203968800139,7.27758751300342,5.70368490381224,7.96216724585484,8.81529798599057,-1.53771047298715,"tcga"
"TCGA-A2-A04U-01",1.9042880561505,6.57043560699758,3.86848697636103,3.39979947910251,2.87404226650745,6.99201112077406,1.99339534423932,2.25160864064298,1.46435851509471,0.81104348549426,3.45616472019709,2.954959340786,5.17291549208999,5.17236407724695,-1.71619935704986,"tcga"
"TCGA-A2-A04V-01",1.51831784239303,8.51426431286372,4.56279224773495,5.41263169904565,4.27648882648903,8.51259924462575,8.57634775532512,3.29340639317678,1.93048141183417,0.80134720583796,4.54901410502567,2.83009303213299,5.11234149923666,5.51058255879118,-0.961568453765507,"tcga"
"TCGA-A2-A04W-01",1.9683398488085,7.22485063615754,4.47528211869014,2.72155436647954,3.44243424392077,7.64187077739992,6.27842373887715,3.06677487385752,2.17391430224491,0.840105499211657,4.18198570958073,2.79566306335096,5.47804960881408,5.08474497684066,-0.902759267259928,"tcga"
"TCGA-A2-A04X-01",5.79844170152128,10.5196952173756,7.53588884710511,5.37578380086616,6.4172624895196,9.1417580657914,7.238439304237,4.44298654803483,4.02353864083882,4.16084586976884,7.46189361752299,6.12613450863349,8.03098157087895,7.75175392653887,-0.289860309015872,"tcga"
"TCGA-A2-A04Y-01",2.96054317263715,10.5883773427707,6.33668216823257,4.52806783254828,6.13223954629926,9.17022932283191,7.64128946712997,3.6870846565961,3.35450872561696,2.44351413709181,6.93580554813233,5.16165393072507,7.34464211318266,7.86694394285975,-0.931138394727421,"tcga"
"TCGA-A2-A0CK-01",3.04013849170555,9.13497043708197,5.90733115520497,4.84351557987146,5.77177832172783,7.82824122165458,6.33257194770354,3.8221124497951,2.46901243808413,1.10650251927253,6.42575999341757,4.7032391580091,4.98985654243086,7.00192053505014,-0.576160541632568,"tcga"
"TCGA-A2-A0CL-01",7.80031423344847,12.811930549861,7.90743297261857,6.45933943021956,7.61643604675539,10.2583520773031,6.37067940749387,5.01481155169318,5.29594089264659,3.8295998251639,9.31088222165223,7.34190571384892,8.96791789484024,9.58160044878154,-0.270718227129313,"tcga"
"TCGA-A2-A0CM-01",4.5708300407627,11.1383614057771,7.306366550061,4.76119712451302,6.74593111932043,9.59689014202585,3.28325056765136,4.31846619996643,4.2762360457095,2.97492898894797,7.60281372440962,6.09554471344525,8.6156443488884,8.43833491169775,-0.835521187288125,"tcga"
"TCGA-A2-A0CO-01",6.69332781311569,11.1565761130365,6.89371163111385,6.76927360530046,6.6041786859674,9.13814499776013,6.85097221917414,4.42616741735627,3.02676463458083,2.24717063916254,8.09289020225792,6.10173830905524,7.38661266572281,8.06880687170654,0.0240833305513846,"tcga"
"TCGA-A2-A0CP-01",3.04686132456922,8.09338058866365,5.28329852440732,4.17795927304287,4.33886243737542,7.61060078576266,9.29862188950835,3.44856320415127,1.96346358477663,1.73322220312525,5.28037665243787,3.37620702027526,5.66976947151312,6.04197429579034,-0.761597643352466,"tcga"
"TCGA-A2-A0CQ-01",0.86224472363078,8.59042611775715,3.7534703308355,2.1436227963435,3.95741514517038,8.10087044278378,5.54328066123198,3.80860927494655,1.35915217815753,0.52547718660258,4.71640039179003,2.58549139194535,5.12681596124685,5.70897116956962,-0.992570777779588,"tcga"
"TCGA-A2-A0CR-01",8.38195222398151,10.7040333063741,9.11954479714172,6.20413508940891,7.92563471461277,8.91842636711266,7.7224978266164,5.12018410896919,4.7757833373223,3.54825060592645,9.36179884656086,7.62342794804604,7.8167596842511,10.116240906933,-0.754442060372165,"tcga"
"TCGA-A2-A0CS-01",1.02327109125879,8.58503012546626,3.3258092217752,3.65228064967718,3.59879062213278,7.50972967310211,8.04308685985495,2.85985659612236,1.74338050536781,0.62681313921069,4.15274825097172,0.943283737584011,6.68550570516241,4.69255338199732,-0.539805131025605,"tcga"
"TCGA-A2-A0CT-01",1.08662578796948,8.05101312358672,3.90121349083309,3.05636784347137,3.28438445223673,7.85091806162703,8.2994814118889,4.06281016982379,1.44991344672127,0.70901399496326,3.33114491878196,1.6277468988104,4.5893260588084,4.85696879275848,-1.52582387397652,"tcga"
